ticker,date,open,high,low,close,adj_close,volume
,,WIX,WIX,WIX,WIX,WIX,WIX
WIX,2025-09-24,178.38999938964844,182.3000030517578,176.3000030517578,181.4600067138672,181.4600067138672,1068000
WIX,2025-09-25,180.0,180.0,173.27999877929688,173.59500122070312,173.59500122070312,2243200
WIX,2025-09-26,176.22999572753906,177.8699951171875,172.9600067138672,177.4199981689453,177.4199981689453,1188900
WIX,2025-09-29,180.00999450683594,181.11000061035156,176.25,180.67999267578125,180.67999267578125,1322900
WIX,2025-09-30,179.67999267578125,180.01499938964844,172.08999633789062,177.6300048828125,177.6300048828125,2156700
WIX,2025-10-01,177.0,180.99000549316406,151.02999877929688,153.7899932861328,153.7899932861328,5149900
WIX,2025-10-02,154.2100067138672,160.74000549316406,153.0399932861328,153.66000366210938,153.66000366210938,1641100
WIX,2025-10-03,154.0399932861328,155.47000122070312,149.69700622558594,151.77000427246094,151.77000427246094,1551900
WIX,2025-10-06,151.52000427246094,153.5,140.39999389648438,146.14999389648438,146.14999389648438,2677200
WIX,2025-10-07,146.5,146.90899658203125,137.3000030517578,138.02999877929688,138.02999877929688,2185200
WIX,2025-10-08,137.72000122070312,138.49000549316406,134.91000366210938,135.0800018310547,135.0800018310547,1315400
WIX,2025-10-09,134.85000610351562,141.2899932861328,133.75,138.72000122070312,138.72000122070312,1571600
WIX,2025-10-10,138.8699951171875,140.21600341796875,133.35000610351562,134.14999389648438,134.14999389648438,1017000
WIX,2025-10-13,136.22000122070312,136.93499755859375,134.19000244140625,136.16000366210938,136.16000366210938,1463300
WIX,2025-10-14,133.60000610351562,139.36000061035156,132.5,138.02999877929688,138.02999877929688,1659400
WIX,2025-10-15,140.3699951171875,140.3699951171875,132.86000061035156,135.66000366210938,135.66000366210938,1283800
WIX,2025-10-16,136.5399932861328,138.5,132.1699981689453,132.44000244140625,132.44000244140625,913000
WIX,2025-10-17,132.5800018310547,135.46800231933594,129.38999938964844,130.82000732421875,130.82000732421875,1585400
WIX,2025-10-20,132.36000061035156,138.10000610351562,132.36000061035156,137.5800018310547,137.5800018310547,1222400
WIX,2025-10-21,135.75,138.63999938964844,133.58999633789062,133.8000030517578,133.8000030517578,1452700
WIX,2025-10-22,133.02999877929688,139.4499969482422,132.49000549316406,135.5800018310547,135.5800018310547,1207600
WIX,2025-10-23,137.44000244140625,140.6699981689453,135.02000427246094,140.25999450683594,140.25999450683594,1340300
WIX,2025-10-24,141.8800048828125,143.0,138.3350067138672,140.91000366210938,140.91000366210938,1347300
WIX,2025-10-27,142.55999755859375,144.1199951171875,138.3000030517578,139.35000610351562,139.35000610351562,812400
WIX,2025-10-28,138.77000427246094,142.75,137.24000549316406,140.64999389648438,140.64999389648438,1071900
WIX,2025-10-29,141.3800048828125,142.8800048828125,134.5399932861328,135.88999938964844,135.88999938964844,1412500
WIX,2025-10-30,134.4600067138672,137.53500366210938,134.36000061035156,135.25999450683594,135.25999450683594,824000
WIX,2025-10-31,137.0800018310547,148.3300018310547,136.6699981689453,145.5399932861328,145.5399932861328,2459100
WIX,2025-11-03,145.0,146.36000061035156,142.6300048828125,143.1699981689453,143.1699981689453,849900
WIX,2025-11-04,141.72999572753906,141.72999572753906,137.4499969482422,137.58999633789062,137.58999633789062,345007
